hs6,chapter,heading,description
611699,61,6116,"gloves, mittens and mitts, knitted or crocheted. - other : -- of other textile materials"
611710,61,6117,"other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories. - shawls, scarves, mufflers, mantillas, veils and the like"
611780,61,6117,"other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories. - other accessories"
611790,61,6117,"other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories. - parts"
620120,62,6201,"mens or boys overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03. - of wool or fine animal hair"
620130,62,6201,"mens or boys overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03. - of cotton"
620140,62,6201,"mens or boys overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03. - of man-made fibres"
620190,62,6201,"mens or boys overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03. - of other textile materials"
620220,62,6202,"womens or girls overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04. - of wool or fine animal hair"
620230,62,6202,"womens or girls overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04. - of cotton"
620240,62,6202,"womens or girls overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04. - of man-made fibres"
620290,62,6202,"womens or girls overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04. - of other textile materials"
620311,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of wool or fine animal hair"
620312,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of synthetic fibres"
620319,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of other textile materials"
620322,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of cotton"
620323,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of synthetic fibres"
620329,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of other textile materials"
620331,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of wool or fine animal hair"
620332,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of cotton"
620333,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of synthetic fibres"
620339,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of other textile materials"
620341,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of wool or fine animal hair"
620342,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of cotton"
620343,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of synthetic fibres"
620349,62,6203,"mens or boys suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of other textile materials"
620411,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of wool or fine animal hair"
620412,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of cotton"
620413,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of synthetic fibres"
620419,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - suits : -- of other textile materials"
620421,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of wool or fine animal hair"
620422,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of cotton"
620423,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of synthetic fibres"
620429,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - ensembles : -- of other textile materials"
620431,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of wool or fine animal hair"
620432,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of cotton"
620433,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of synthetic fibres"
